Municipality,Readiness_Index,Shelters,Hospitals,Community Centers,Schools,Government Buildings,Transportation Hubs
Adjuntas,0.3033382037794662,0.864406779661017,0.03389830508474577,0.1016949152542373,0.08620689655172413,0.1,0.016666666666666666
Aguada,0.4013871030586402,0.7966101694915255,0.06779661016949153,0.7796610169491526,0.05172413793103449,0.2,0.03333333333333333
Aguadilla,0.25168420027274496,0.1016949152542373,0.03389830508474577,1.0,0.3103448275862069,0.25,0.06666666666666667
Aguas Buenas,0.46384083382037794,0.7796610169491526,0.0,1.0,0.4827586206896552,0.2833333333333333,0.03333333333333333
Aibonito,0.4296434833430743,1.0,0.05084745762711865,0.1864406779661017,0.6896551724137931,0.16666666666666666,0.03333333333333333
Arecibo,0.7013461913111241,1.0,0.6610169491525424,1.0,0.8275862068965517,0.016666666666666666,0.016666666666666666
Arroyo,0.44839470095460743,1.0,0.1016949152542373,0.4067796610169491,0.08620689655172413,0.16666666666666666,0.36666666666666664
Añasco,0.3353350866939412,0.5593220338983051,0.01694915254237288,0.7457627118644068,0.43103448275862066,0.06666666666666667,0.016666666666666666
Barceloneta,0.39419832456653026,1.0,0.06779661016949153,0.15254237288135591,0.3103448275862069,0.18333333333333332,0.05
Barranquitas,0.2990775375024352,0.5254237288135594,0.3389830508474576,0.11864406779661017,0.1724137931034483,0.11666666666666667,0.1
Bayamón,0.3790112994350282,0.03389830508474577,0.3220338983050847,1.0,1.0,0.15,0.23333333333333334
Cabo Rojo,0.26162770309760375,0.5423728813559322,0.0,0.15254237288135591,0.3103448275862069,0.4166666666666667,0.03333333333333333
Caguas,0.6671751412429379,1.0,0.3220338983050847,1.0,1.0,0.3,0.06666666666666667
Camuy,0.4191729982466394,1.0,0.06779661016949153,0.4067796610169491,0.3620689655172414,0.016666666666666666,0.03333333333333333
Canóvanas,0.6753759984414572,1.0,0.8813559322033899,0.4745762711864407,0.6551724137931035,0.05,0.13333333333333333
Carolina,0.5919209039548022,0.9322033898305085,0.03389830508474577,0.8474576271186441,1.0,0.45,0.31666666666666665
Cataño,0.3888252483927528,1.0,0.0,0.2542372881355932,0.2068965517241379,0.26666666666666666,0.03333333333333333
Cayey,0.11789791544905513,0.0,0.11864406779661017,0.23728813559322032,0.29310344827586204,0.21666666666666667,0.016666666666666666
Ceiba,0.5912556010130527,1.0,0.3220338983050847,1.0,0.22413793103448276,0.25,0.13333333333333333
Ciales,0.234806156243912,0.22033898305084745,0.03389830508474577,1.0,0.06896551724137931,0.016666666666666666,0.016666666666666666
Cidra,0.37006623806740696,1.0,0.01694915254237288,0.1016949152542373,0.1724137931034483,0.3,0.03333333333333333
Coamo,0.38828949931813755,1.0,0.01694915254237288,0.3220338983050847,0.22413793103448276,0.08333333333333333,0.05
Comerío,0.3264504188583674,0.8813559322033899,0.05084745762711865,0.1694915254237288,0.1724137931034483,0.016666666666666666,0.05
Corozal,0.31774595752970974,0.4406779661016949,0.30508474576271183,0.23728813559322032,0.603448275862069,0.03333333333333333,0.1
Culebra,0.11299435028248586,0.23728813559322032,0.03389830508474577,0.0,0.0,0.16666666666666666,0.16666666666666666
Dorado,0.2893941165010715,0.15254237288135591,0.05084745762711865,1.0,0.27586206896551724,0.36666666666666664,0.16666666666666666
Fajardo,0.5172257938827196,1.0,0.01694915254237288,1.0,0.396551724137931,0.18333333333333332,0.05
Guayama,0.3847067991428015,0.9152542372881356,0.0,0.30508474576271183,0.3103448275862069,0.31666666666666665,0.016666666666666666
Guayanilla,0.40688291447496594,0.9661016949152543,0.11864406779661017,0.1864406779661017,0.3275862068965517,0.26666666666666666,0.0
Guaynabo,0.7342372881355932,1.0,0.01694915254237288,1.0,1.0,0.8833333333333333,0.9166666666666666
Gurabo,0.5293502824858757,1.0,0.01694915254237288,0.711864406779661,1.0,0.13333333333333333,0.05
Guánica,0.08618936294564582,0.01694915254237288,0.05084745762711865,0.288135593220339,0.05172413793103449,0.08333333333333333,0.11666666666666667
Hatillo,0.8380790960451978,1.0,1.0,0.8983050847457628,1.0,0.3333333333333333,0.2
